county,precinct,county_prec,obama,romney,clinton,trump,pct_obama,pct_romney,pct_clinton,pct_trump,berkley,heller,cortezmasto,heck,pct_berkley,pct_heller,pct_cortezmasto,pct_heck,pct_latino,votes_2012,votes_2016
003,1671,003_1671,3,23,4,14,0.1153846,0.8846154,0.2,0.7,0,22,4,15,0.0,0.8461539,0.2,0.75,0.038461538461538464,26,20
003,1672,003_1672,392,290,457,365,0.56,0.4142857,0.5187287,0.4143019,336,284,439,343,0.48,0.40571430000000003,0.4982974,0.3893303,0.12703101920236337,700,881
003,1674,003_1674,329,455,311,469,0.4164557,0.5759494,0.3877805,0.584788,312,412,313,433,0.3949367,0.521519,0.3902743,0.5399002,0.024390243902439025,790,802
003,1675,003_1675,385,549,409,558,0.4061182,0.5791139,0.3986355,0.5438597,328,533,383,566,0.3459916,0.5622363,0.3732944,0.5516569,0.07681365576102418,948,1026
003,1676,003_1676,231,252,199,287,0.4695122,0.5121951,0.3834297,0.5529865,185,247,209,263,0.3760163,0.5020325,0.4026975,0.5067437,0.16816816816816818,492,519
003,1677,003_1677,478,359,416,402,0.555814,0.4174419,0.4732651,0.4573379,416,352,412,370,0.4837209,0.4093023,0.4687144,0.4209329,0.1767100977198697,860,879
003,1678,003_1678,355,462,334,479,0.4201183,0.5467455,0.387022,0.5550405,324,439,334,449,0.3834319,0.5195266,0.387022,0.5202781,0.10984182776801406,845,863
003,1679,003_1679,443,484,425,475,0.470276,0.5138004,0.4305978,0.4812563,375,487,439,465,0.3980892,0.5169851,0.4447822,0.4711246,0.16793893129770993,942,987
003,1680,003_1680,643,567,650,618,0.5231896,0.4613507,0.47759,0.4540779,575,540,635,606,0.46786,0.4393816,0.4665687,0.4452608,0.15159435441714583,1229,1361
003,1681,003_1681,13,28,9,33,0.3170732,0.6829268,0.2093023,0.7674419,12,26,8,31,0.2926829,0.6341463,0.1860465,0.7209302,0.03636363636363636,41,43
003,1682,003_1682,611,314,565,351,0.6472458,0.3326271,0.5633101,0.3499501,511,309,545,332,0.5413136,0.3273305,0.5433699,0.331007,0.1845042678923178,944,1003
003,1683,003_1683,613,336,602,421,0.6326109,0.3467492,0.5538179,0.3873045,516,319,573,385,0.5325077,0.3292054,0.5271389,0.3541858,0.18437832093517534,969,1087
003,1684,003_1684,114,178,133,194,0.3864407,0.6033899,0.3843931,0.5606936,92,170,140,178,0.3118644,0.5762712,0.4046243,0.5144508,0.2112676056338028,295,346
003,1685,003_1685,3,1,4,2,0.75,0.25,0.6666667,0.3333333,3,1,2,2,0.75,0.25,0.3333333,0.3333333,0.0,4,6
003,1686,003_1686,292,422,306,452,0.3994528,0.5772914,0.3787129,0.5594059,269,398,298,427,0.3679891,0.5444596,0.3688119,0.5284653,0.14046511627906977,731,808
003,1687,003_1687,488,386,508,418,0.5422222,0.4288889,0.5105528,0.4201005,428,364,488,404,0.4755556,0.4044445,0.4904523,0.4060301,0.15597667638483964,900,995
003,1688,003_1688,420,320,411,348,0.5570292,0.4244032,0.5080346,0.4301607,364,303,400,335,0.4827586,0.4018568,0.4944376,0.4140915,0.14224507283633248,754,809
003,1689,003_1689,397,330,385,360,0.540136,0.4489796,0.4993515,0.4669261,346,309,369,331,0.4707483,0.4204082,0.4785992,0.4293126,0.08596491228070176,735,771
003,1691,003_1691,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0.0,0,0
003,1692,003_1692,49,96,39,117,0.3310811,0.6486486,0.2392638,0.7177914,44,88,43,107,0.2972973,0.5945946,0.2638037,0.6564417,0.10476190476190476,148,163
003,1693,003_1693,128,244,138,270,0.3368421,0.6421053,0.3216783,0.6293706,122,219,149,251,0.3210526,0.5763158,0.3473193,0.5850816,0.10622710622710622,380,429
003,1695,003_1695,242,127,299,164,0.6402116,0.3359788,0.6190476,0.3395445,198,134,267,163,0.5238096,0.3544973,0.5527951,0.3374741,0.2109090909090909,378,483
003,1702,003_1702,428,377,498,430,0.5277435,0.4648582,0.497006,0.4291417,356,377,480,409,0.4389642,0.4648582,0.4790419,0.4081836,0.13356643356643358,811,1002
003,1703,003_1703,523,306,657,332,0.6160188,0.360424,0.6275072,0.3170965,450,287,595,322,0.5300353,0.3380448,0.5682904,0.3075454,0.13854351687388988,849,1047
003,1704,003_1704,362,323,365,345,0.5193687,0.4634146,0.4828042,0.4563492,297,319,338,345,0.4261119,0.4576758,0.4470899,0.4563492,0.1542649727767695,697,756
003,1711,003_1711,0,2,0,1,0.0,1.0,0.0,1.0,0,2,1,0,0.0,1.0,1.0,0.0,0.0,2,1
003,1712,003_1712,597,681,1037,1190,0.460293,0.5250579,0.442784,0.5081127,532,673,1003,1160,0.4101773,0.5188897,0.4282664,0.4953032,0.0814111261872456,1297,2342
003,1715,003_1715,343,563,313,566,0.3773377,0.6193619,0.3501118,0.6331096,328,546,324,524,0.3608361,0.6006601,0.3624161,0.5861297,0.016488845780795344,909,894
003,1717,003_1717,406,582,420,589,0.4047856,0.5802592,0.4054054,0.5685328,384,551,414,569,0.3828515,0.5493519,0.3996139,0.5492278,0.012285012285012284,1003,1036
003,1718,003_1718,543,706,563,753,0.4302694,0.5594295,0.4154982,0.5557196,505,681,553,729,0.4001585,0.5396196,0.4081181,0.5380074,0.020872865275142316,1262,1355
003,1719,003_1719,625,817,412,540,0.4272044,0.5584416,0.4195519,0.5498981,544,809,416,515,0.3718387,0.5529733,0.4236253,0.5244399,0.028070175438596492,1463,982
003,1720,003_1720,737,751,348,420,0.4916611,0.5010006,0.4371859,0.5276382,664,712,348,396,0.442962,0.4749833,0.4371859,0.4974874,0.04024767801857585,1499,796
003,1721,003_1721,398,672,401,635,0.3698885,0.6245353,0.3747663,0.5934579,379,627,407,607,0.3522305,0.5827138,0.3803738,0.5672897,0.030636292223095052,1076,1070
003,1722,003_1722,223,421,266,378,0.3409786,0.6437309,0.3929099,0.5583456,230,391,257,387,0.3516819,0.5978593,0.379616,0.5716396,0.031486146095717885,654,677
003,1727,003_1727,NA,NA,773,987,NA,NA,0.4180638,0.533802,NA,NA,733,990,NA,NA,0.3964305,0.5354245,0.05825649622799665,NA,1849
003,1732,003_1732,40,22,50,24,0.6060606,0.3333333,0.6329114,0.3037975,34,25,44,25,0.5151515,0.3787879,0.556962,0.3164557,0.10869565217391304,66,79
003,1750,003_1750,312,431,264,457,0.4094488,0.5656168,0.3478261,0.6021081,251,391,277,409,0.3293963,0.5131233,0.3649539,0.5388669,0.07357859531772576,762,759
003,1751,003_1751,217,552,227,658,0.2778489,0.7067862,0.2478166,0.7183406,187,504,233,596,0.2394366,0.6453265,0.2543668,0.650655,0.05862646566164154,781,916
003,1753,003_1753,NA,NA,39,108,NA,NA,0.26,0.72,NA,NA,42,99,NA,NA,0.28,0.66,0.03571428571428571,NA,150
003,2008,003_2008,494,471,454,548,0.4969819,0.4738431,0.4258912,0.5140713,441,441,470,473,0.443662,0.443662,0.4409006,0.4437148,0.18292682926829268,994,1066
